Wiek,Płeć,Kanał_Zakupów,Wydatki_PLN,Liczba_Zakupów
58,Mężczyzna,Online,182.68,3
53,Mężczyzna,Stacjonarny,284.9,8
44,Mężczyzna,Stacjonarny,202.22,3
34,Mężczyzna,Online,296.98,8
26,Mężczyzna,Online,287.9,5
50,Mężczyzna,Stacjonarny,275.85,8
37,Mężczyzna,Online,187.79,2
30,Kobieta,Online,317.99,5
45,Kobieta,Stacjonarny,239.45,3
46,Mężczyzna,Online,239.12,4
30,Kobieta,Stacjonarny,197.09,3
63,Kobieta,Online,177.94,6
52,Kobieta,Online,206.89,3
23,Kobieta,Online,154.7,3
35,Mężczyzna,Online,260.8,8
22,Mężczyzna,Online,348.61,6
64,Kobieta,Online,186.59,2
42,Mężczyzna,Stacjonarny,195.69,3
19,Mężczyzna,Online,303.5,9
27,Kobieta,Online,299.88,5
47,Mężczyzna,Online,228.0,3
62,Kobieta,Online,167.03,6
22,Kobieta,Online,260.31,6
50,Mężczyzna,Online,190.15,6
18,Kobieta,Online,307.91,9
35,Mężczyzna,Online,181.22,4
49,Mężczyzna,Online,187.63,6
64,Kobieta,Stacjonarny,341.82,6
28,Mężczyzna,Online,320.37,10
38,Mężczyzna,Online,170.87,4
43,Kobieta,Stacjonarny,190.74,5
42,Mężczyzna,Online,209.18,7
39,Mężczyzna,Stacjonarny,263.7,5
44,Mężczyzna,Online,141.9,1
30,Mężczyzna,Online,247.81,4
50,Kobieta,Online,181.03,3
51,Mężczyzna,Online,250.54,5
58,Mężczyzna,Stacjonarny,198.92,6
52,Mężczyzna,Online,198.7,3
18,Mężczyzna,Stacjonarny,170.26,5
38,Mężczyzna,Online,288.79,7
23,Kobieta,Online,291.41,6
45,Mężczyzna,Online,189.07,3
34,Mężczyzna,Online,274.14,7
22,Mężczyzna,Online,254.45,4
48,Mężczyzna,Stacjonarny,285.97,5
22,Kobieta,Stacjonarny,184.52,6
55,Kobieta,Online,229.69,6
20,Kobieta,Stacjonarny,207.44,5
40,Kobieta,Stacjonarny,360.42,9
54,Mężczyzna,Stacjonarny,255.88,7
54,Mężczyzna,Online,205.31,5
27,Mężczyzna,Stacjonarny,184.82,2
27,Kobieta,Online,257.61,6
36,Mężczyzna,Stacjonarny,113.93,2
34,Kobieta,Online,258.62,7
38,Kobieta,Online,283.71,8
31,Mężczyzna,Stacjonarny,227.87,5
26,Mężczyzna,Online,207.45,4
63,Kobieta,Stacjonarny,243.93,7
18,Kobieta,Stacjonarny,88.79,4
62,Kobieta,Stacjonarny,313.16,9
30,Kobieta,Online,209.74,3
21,Mężczyzna,Stacjonarny,190.85,4
18,Kobieta,Online,273.85,5
57,Mężczyzna,Online,242.01,4
49,Kobieta,Stacjonarny,251.41,6
51,Kobieta,Online,229.86,6
45,Kobieta,Online,234.36,7
48,Kobieta,Stacjonarny,300.38,6
25,Kobieta,Online,252.94,8
56,Kobieta,Online,259.78,7
43,Mężczyzna,Stacjonarny,156.57,3
51,Kobieta,Online,231.8,6
20,Mężczyzna,Stacjonarny,155.34,4
29,Kobieta,Stacjonarny,188.29,6
18,Mężczyzna,Stacjonarny,208.78,4
61,Mężczyzna,Stacjonarny,294.46,8
22,Mężczyzna,Online,294.26,9
47,Mężczyzna,Online,152.05,2
47,Kobieta,Stacjonarny,301.96,7
34,Mężczyzna,Stacjonarny,181.97,4
64,Kobieta,Online,134.31,1
40,Mężczyzna,Online,250.52,8
32,Kobieta,Online,233.53,4
54,Kobieta,Online,202.33,6
38,Mężczyzna,Stacjonarny,139.74,3
31,Mężczyzna,Online,258.87,5
19,Mężczyzna,Stacjonarny,196.71,6
28,Mężczyzna,Stacjonarny,185.61,2
56,Mężczyzna,Online,102.04,2
55,Kobieta,Stacjonarny,251.49,5
51,Kobieta,Online,196.01,3
55,Kobieta,Online,172.81,3
51,Kobieta,Stacjonarny,178.55,6
35,Mężczyzna,Stacjonarny,283.79,9
47,Kobieta,Stacjonarny,218.45,7
32,Mężczyzna,Online,236.11,6
44,Kobieta,Online,118.62,1
51,Mężczyzna,Stacjonarny,315.79,7
55,Mężczyzna,Online,168.84,6
50,Kobieta,Online,203.94,7
41,Kobieta,Online,267.33,5
